nohup: ignoring input
[17:59:58] === SVD (poison-only) — NO post-fit nudge ===
[18:00:02] Original users: 53,424
[18:00:02] Training baseline SVD on ORIGINAL...
[18:06:28] Scored 1,000/53,424 users for ORIGINAL...
[18:06:30] Scored 2,000/53,424 users for ORIGINAL...
[18:06:32] Scored 3,000/53,424 users for ORIGINAL...
[18:06:34] Scored 4,000/53,424 users for ORIGINAL...
[18:06:36] Scored 5,000/53,424 users for ORIGINAL...
[18:06:39] Scored 6,000/53,424 users for ORIGINAL...
[18:06:41] Scored 7,000/53,424 users for ORIGINAL...
[18:06:43] Scored 8,000/53,424 users for ORIGINAL...
[18:06:45] Scored 9,000/53,424 users for ORIGINAL...
[18:06:47] Scored 10,000/53,424 users for ORIGINAL...
[18:06:50] Scored 11,000/53,424 users for ORIGINAL...
[18:06:52] Scored 12,000/53,424 users for ORIGINAL...
[18:06:54] Scored 13,000/53,424 users for ORIGINAL...
[18:06:56] Scored 14,000/53,424 users for ORIGINAL...
[18:06:58] Scored 15,000/53,424 users for ORIGINAL...
[18:07:01] Scored 16,000/53,424 users for ORIGINAL...
[18:07:03] Scored 17,000/53,424 users for ORIGINAL...
[18:07:05] Scored 18,000/53,424 users for ORIGINAL...
[18:07:07] Scored 19,000/53,424 users for ORIGINAL...
[18:07:09] Scored 20,000/53,424 users for ORIGINAL...
[18:07:12] Scored 21,000/53,424 users for ORIGINAL...
[18:07:14] Scored 22,000/53,424 users for ORIGINAL...
[18:07:16] Scored 23,000/53,424 users for ORIGINAL...
[18:07:18] Scored 24,000/53,424 users for ORIGINAL...
[18:07:20] Scored 25,000/53,424 users for ORIGINAL...
[18:07:23] Scored 26,000/53,424 users for ORIGINAL...
[18:07:25] Scored 27,000/53,424 users for ORIGINAL...
[18:07:27] Scored 28,000/53,424 users for ORIGINAL...
[18:07:29] Scored 29,000/53,424 users for ORIGINAL...
[18:07:32] Scored 30,000/53,424 users for ORIGINAL...
[18:07:34] Scored 31,000/53,424 users for ORIGINAL...
[18:07:36] Scored 32,000/53,424 users for ORIGINAL...
[18:07:38] Scored 33,000/53,424 users for ORIGINAL...
[18:07:41] Scored 34,000/53,424 users for ORIGINAL...
[18:07:43] Scored 35,000/53,424 users for ORIGINAL...
[18:07:45] Scored 36,000/53,424 users for ORIGINAL...
[18:07:47] Scored 37,000/53,424 users for ORIGINAL...
[18:07:49] Scored 38,000/53,424 users for ORIGINAL...
[18:07:52] Scored 39,000/53,424 users for ORIGINAL...
[18:07:54] Scored 40,000/53,424 users for ORIGINAL...
[18:07:56] Scored 41,000/53,424 users for ORIGINAL...
[18:07:58] Scored 42,000/53,424 users for ORIGINAL...
[18:08:01] Scored 43,000/53,424 users for ORIGINAL...
[18:08:03] Scored 44,000/53,424 users for ORIGINAL...
[18:08:05] Scored 45,000/53,424 users for ORIGINAL...
[18:08:07] Scored 46,000/53,424 users for ORIGINAL...
[18:08:09] Scored 47,000/53,424 users for ORIGINAL...
[18:08:12] Scored 48,000/53,424 users for ORIGINAL...
[18:08:14] Scored 49,000/53,424 users for ORIGINAL...
[18:08:16] Scored 50,000/53,424 users for ORIGINAL...
[18:08:18] Scored 51,000/53,424 users for ORIGINAL...
[18:08:21] Scored 52,000/53,424 users for ORIGINAL...
[18:08:23] Scored 53,000/53,424 users for ORIGINAL...
[18:08:26] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/ORIGINAL_15recommendation.csv (801360 rows)
[18:08:31] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/ORIGINAL_25recommendation.csv (1335600 rows)
[18:08:36] Saved → /home/moshtasa/Research/phd-svd-recsys/SVD/Book/result/rec/top_re/0904/SVD/ORIGINAL_35recommendation.csv (1869840 rows)
[18:08:39] [1/53] books_summary — loading & training...
[18:08:39] [ERROR] books_summary: ['user_id', 'rating']
[18:08:39] [2/53] enhanced_Adult_100_avgonly — loading & training...
[18:15:14] Scored 1,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:16] Scored 2,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:18] Scored 3,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:20] Scored 4,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:23] Scored 5,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:25] Scored 6,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:27] Scored 7,000/53,424 users for enhanced_Adult_100_avgonly...
[18:15:29] Scored 8,000/53,424 users for enhanced_Adult_100_avgonly...
